name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"Invaders from Mars",PG,Horror,1986,1986-06-06,5.6,8200,"Tobe Hooper","Richard Blake","Karen Black","United States",12000000,4884663,"Cannon Pictures",100
"Down and Out in Beverly Hills",R,Comedy,1986,1986-01-31,6.2,16000,"Paul Mazursky","Ren̩ Fauchois","Nick Nolte","United States",14000000,62134225,"Touchstone Pictures",103
"April Fool's Day",R,Horror,1986,1986-03-28,6.2,15000,"Fred Walton","Danilo Bach","Deborah Foreman","United States",5000000,12947763,"Paramount Pictures",89
"The Big Easy",R,Comedy,1986,1987-08-21,6.5,12000,"Jim McBride","Daniel Petrie Jr.","Dennis Quaid","United States",8500000,17685307,"Kings Road Entertainment",102
Pirates,PG-13,Action,1986,1986-07-18,6.1,8100,"Roman Polanski","John Brownjohn","Walter Matthau",France,40000000,1641825,"Carthago Films S.a.r.l.",121
"No Mercy",R,Crime,1986,1986-12-19,5.7,7000,"Richard Pearce","James Carabatsos","Richard Gere","United States",14000000,12303904,"TriStar Pictures",106
"Lady Jane",PG-13,Biography,1986,1986-02-07,7.1,6300,"Trevor Nunn","Chris Bryant","Helena Bonham Carter","United Kingdom",8500000,277646,"Capital Equipment Leasing",136
"Club Paradise",PG-13,Comedy,1986,1986-07-11,5.1,5900,"Harold Ramis","Harry Shearer","Robin Williams","United States",15000000,12308521,"Warner Bros.",96
"Armed and Dangerous",PG-13,Action,1986,1986-08-15,5.7,11000,"Mark L. Lester","Brian Grazer","John Candy","United States",12000000,15945534,"Columbia Pictures",88
F/X,R,Action,1986,1986-02-07,6.7,18000,"Robert Mandel","Robert T. Megginson","Bryan Brown","United States",10000000,20603715,"Orion Pictures",109
"King Kong Lives",PG-13,Action,1986,1986-12-19,3.9,5600,"John Guillermin","Ronald Shusett","Brian Kerwin","United States",10000000,4711220,"Toho Company",105
"Wise Guys",R,Comedy,1986,1986-04-18,5.7,5500,"Brian De Palma","George Gallo","Danny DeVito","United States",13000000,8475466,"Metro-Goldwyn-Mayer (MGM)",100
Solarbabies,PG-13,Action,1986,1986-11-26,4.8,4100,"Alan Johnson","Walon Green","Richard Jordan","United States",25000000,1579260,Brooksfilms,94
"The Manhattan Project",PG-13,Sci-Fi,1986,1986-06-13,6.2,5600,"Marshall Brickman","Marshall Brickman","John Lithgow","United States",18000000,3900000,"Gladden Entertainment",117
"Gung Ho",PG-13,Comedy,1986,1986-03-14,6.3,12000,"Ron Howard","Edwin Blum","Michael Keaton","United States",18000000,36611610,"Paramount Pictures",111
"Murphy's Law",R,Action,1986,1986-04-18,6,5100,"J. Lee Thompson","Gail Morgan Hickman","Charles Bronson","United States",6000000,9947631,"Cannon Group",100
"Band of the Hand",R,Action,1986,1986-04-11,6.2,2800,"Paul Michael Glaser","Leo Garen","Stephen Lang","United States",8700000,4865912,"Delphi V Productions",109
Vamp,R,Comedy,1986,1986-07-18,5.9,5100,"Richard Wenk","Donald P. Borchers","Chris Makepeace","United States",3300000,4941117,"New World Pictures",93
"Haunted Honeymoon",PG,Comedy,1986,1986-07-25,5.7,6900,"Gene Wilder","Gene Wilder","Gene Wilder","United Kingdom",13000000,8033397,"Orion Pictures",82
"Tough Guys",PG,Comedy,1986,1986-10-03,6.2,6800,"Jeff Kanew","James Orr","Burt Lancaster","United States",10000000,21458229,"Touchstone Pictures",104
"The Best of Times",PG-13,Comedy,1986,1986-01-31,6,6800,"Roger Spottiswoode","Ron Shelton","Robin Williams","United States",12000000,7817314,"Cinema Group Ventures",104
Firewalker,PG,Action,1986,1986-11-21,5.1,6300,"J. Lee Thompson","Robert Gosnell","Chuck Norris","United States",8000000,11949484,"Cannon Group",105
Witchboard,R,Horror,1986,1987-03-13,5.7,6600,"Kevin Tenney","Kevin Tenney","Todd Allen","United Kingdom",2000000,7369373,"Paragon Arts International",98
"Legal Eagles",PG,Comedy,1986,1986-06-20,6,10000,"Ivan Reitman","Ivan Reitman","Robert Redford","United States",40000000,93151591,"Universal Pictures",116
"Jo Jo Dancer, Your Life Is Calling",R,Biography,1986,1986-05-02,6.4,1600,"Richard Pryor","Rocco Urbisci","Richard Pryor","United States",14000000,18034150,"Columbia Pictures",97
"The Morning After",R,Crime,1986,1986-12-25,6,6200,"Sidney Lumet","James Cresson","Jane Fonda","United States",15000000,25147055,"American Filmworks",103
"Crimes of the Heart",PG-13,Comedy,1986,1987-01-23,6.4,3800,"Bruce Beresford","Beth Henley","Diane Keaton","United States",20000000,22905522,"De Laurentiis Entertainment Group (DEG)",105
"Avenging Force",R,Action,1986,1986-09-12,5.8,2600,"Sam Firstenberg","James Booth","Michael Dudikoff","United States",4000000,4679650,"The Cannon Group",104
Heat,R,Action,1986,1987-03-13,5.6,1900,"Dick Richards","William Goldman","Burt Reynolds","United States",17000000,2793214,"Escalante Productions",101
"Shanghai Surprise",PG-13,Adventure,1986,1986-08-29,3.2,5000,"Jim Goddard","John Kohn","Sean Penn","United Kingdom",17000000,2315683,"HandMade Films",97
Power,R,Drama,1986,1986-01-31,5.7,2700,"Sidney Lumet","David Himmelstein","Richard Gere","United States",16000000,3800000,"Lorimar Productions",111
"Brighton Beach Memoirs",PG-13,Comedy,1986,1986-12-25,6.8,3400,"Gene Saks","Neil Simon","Blythe Danner","United States",18000000,11957943,"Rastar Pictures",108
"Violets Are Blue...",PG-13,Drama,1986,1986-04-25,5.9,906,"Jack Fisk","Naomi Foner","Sissy Spacek","United States",10000000,4743287,"Rastar Films",88
Tai-Pan,R,Adventure,1986,1986-11-07,5.6,1600,"Daryl Duke","John Briley","Bryan Brown","United States",25000000,4007250,"De Laurentiis Entertainment Group (DEG)",127
"Blue City",R,Action,1986,1986-05-02,4.4,1100,"Michelle Manning","Ross Macdonald","Judd Nelson","United States",10000000,6947787,"Paramount Pictures",83
"Sky Bandits",PG,Action,1986,1986-10-31,4.6,258,"Zoran Perisic","Thom Keyes","Scott McGinnis","United Kingdom",18000000,2295500,"J&M Entertainment",105
"Born American",R,Action,1986,1986-12-19,4.1,1900,"Renny Harlin","Renny Harlin","Mike Norris","United States",3401376,3388020,"Cinema Group Ventures",95
"Native Son",PG,Drama,1986,1986-12-12,5.8,525,"Jerrold Freedman","Richard Wesley","Victor Love","United States",2000000,1301121,"American Playhouse",111
"The Princess Bride",PG,Adventure,1987,1987-10-09,8.1,402000,"Rob Reiner","William Goldman","Cary Elwes","United Kingdom",16000000,30902642,"Act III Communications",98
"Full Metal Jacket",R,Drama,1987,1987-07-10,8.3,691000,"Stanley Kubrick","Stanley Kubrick","Matthew Modine","United Kingdom",30000000,46357676,Natant,116
Predator,R,Action,1987,1987-06-12,7.8,381000,"John McTiernan","Jim Thomas","Arnold Schwarzenegger","United States",15000000,98268458,"Twentieth Century Fox",107
RoboCop,R,Action,1987,1987-07-17,7.5,240000,"Paul Verhoeven","Edward Neumeier","Peter Weller","United States",13000000,53424681,"Orion Pictures",102
"Dirty Dancing",PG-13,Drama,1987,1987-08-21,7,211000,"Emile Ardolino","Eleanor Bergstein","Patrick Swayze","United States",6000000,214577242,"Great American Films Limited Partnership",100
"Adventures in Babysitting",PG-13,Adventure,1987,1987-07-03,6.9,40000,"Chris Columbus","David Simkins","Elisabeth Shue","United States",7000000,34368475,"Touchstone Pictures",102
"The Untouchables",R,Crime,1987,1987-06-03,7.9,289000,"Brian De Palma","David Mamet","Kevin Costner","United States",25000000,76270454,"Paramount Pictures",119
Spaceballs,PG,Adventure,1987,1987-06-24,7.1,176000,"Mel Brooks","Mel Brooks","Mel Brooks","United States",22700000,38119483,Brooksfilms,96
"Raising Arizona",PG-13,Comedy,1987,1987-04-17,7.3,130000,"Joel Coen","Ethan Coen","Nicolas Cage","United States",6000000,29180280,"Circle Films",94
"Lethal Weapon",R,Action,1987,1987-03-06,7.6,243000,"Richard Donner","Shane Black","Mel Gibson","United States",15000000,120207127,"Warner Bros.",109
"Near Dark",R,Action,1987,1988-01-08,7,35000,"Kathryn Bigelow","Kathryn Bigelow","Adrian Pasdar","United States",5000000,3369307,F/M,94
Mannequin,PG,Comedy,1987,1987-02-13,5.9,30000,"Michael Gottlieb","Edward Rugoff","Andrew McCarthy","United States",6000000,42721196,"Gladden Entertainment",90
"Masters of the Universe",PG,Action,1987,1987-08-07,5.4,38000,"Gary Goddard","David Odell","Dolph Lundgren","United States",22000000,17336370,"Golan-Globus Productions",106
"Fatal Attraction",R,Drama,1987,1987-09-18,6.9,79000,"Adrian Lyne","James Dearden","Michael Douglas","United States",14000000,320145693,"Paramount Pictures",119
"Empire of the Sun",PG,Action,1987,1987-12-25,7.7,119000,"Steven Spielberg","Tom Stoppard","Christian Bale","United States",35000000,22238696,"Amblin Entertainment",153
"No Way Out",R,Action,1987,1987-08-14,7.1,37000,"Roger Donaldson","Kenneth Fearing","Kevin Costner","United States",15000000,35509515,"Orion Pictures",114
"The Witches of Eastwick",R,Comedy,1987,1987-06-12,6.6,65000,"George Miller","John Updike","Jack Nicholson","United States",22000000,63766510,"Warner Bros.",118
"The Running Man",R,Action,1987,1987-11-13,6.7,144000,"Paul Michael Glaser","Stephen King","Arnold Schwarzenegger","United States",27000000,38122105,"TAFT Entertainment Pictures",101
"Black Widow",R,Crime,1987,1987-02-06,6.4,9000,"Bob Rafelson","Ronald Bass","Debra Winger","United States",10500000,25205460,"Amercent Films",102
"Angel Heart",X,Horror,1987,1987-03-06,7.3,83000,"Alan Parker","William Hjortsberg","Mickey Rourke","United Kingdom",17000000,17186348,"Carolco International N.V.",113
Moonstruck,PG,Comedy,1987,1988-01-15,7.1,53000,"Norman Jewison","John Patrick Shanley",Cher,"United States",15000000,80642217,"Metro-Goldwyn-Mayer (MGM)",102
"Jaws: the Revenge",PG-13,Adventure,1987,1987-07-17,3,42000,"Joseph Sargent","Peter Benchley","Lorraine Gary","United States",23000000,51881013,"Universal Pictures",89
"Wall Street",R,Crime,1987,1987-12-11,7.4,147000,"Oliver Stone","Stanley Weiser","Charlie Sheen","United States",15000000,43848069,"Twentieth Century Fox",126
"Good Morning, Vietnam",R,Biography,1987,1988-01-15,7.3,131000,"Barry Levinson","Mitch Markowitz","Robin Williams","United States",13000000,123922370,"Touchstone Pictures",121
"A Nightmare on Elm Street 3: Dream Warriors",R,Fantasy,1987,1987-02-27,6.6,73000,"Chuck Russell","Wes Craven","Heather Langenkamp","United States",4500000,44793222,"New Line Cinema",96
"Planes, Trains & Automobiles",R,Comedy,1987,1987-11-25,7.6,128000,"John Hughes","John Hughes","Steve Martin","United States",30000000,49530280,"Paramount Pictures",93
Overboard,PG,Comedy,1987,1987-12-16,6.9,55000,"Garry Marshall","Leslie Dixon","Goldie Hawn","United States",22000000,26713187,"Metro-Goldwyn-Mayer (MGM)",112
"Beverly Hills Cop II",R,Action,1987,1987-05-20,6.5,111000,"Tony Scott","Danilo Bach","Eddie Murphy","United States",28000000,299965036,"Paramount Pictures",100
"Superman IV: The Quest for Peace",PG,Action,1987,1987-07-24,3.7,44000,"Sidney J. Furie","Jerry Siegel","Christopher Reeve","United Kingdom",17000000,15681020,"Cannon Films",90
"The Secret of My Success",PG-13,Comedy,1987,1987-04-10,6.5,31000,"Herbert Ross","Jim Cash","Michael J. Fox","United States",12000000,110996879,"Rastar Pictures",111
"Evil Dead II",R,Comedy,1987,1987-03-13,7.7,152000,"Sam Raimi","Sam Raimi","Bruce Campbell","United States",3600000,5923798,"Renaissance Pictures",84
Innerspace,PG,Action,1987,1987-07-01,6.8,56000,"Joe Dante","Chip Proser","Dennis Quaid","United States",27000000,25893810,"Warner Bros.",120
"The Living Daylights",PG,Action,1987,1987-07-31,6.7,91000,"John Glen","Richard Maibaum","Timothy Dalton","United Kingdom",40000000,51186259,"Eon Productions",130
"Over the Top",PG,Action,1987,1987-02-13,5.8,51000,"Menahem Golan","Gary Conway","Sylvester Stallone","United States",25000000,16057580,"The Cannon Group",93
"Three Men and a Baby",PG,Comedy,1987,1987-11-25,6.1,50000,"Leonard Nimoy","Coline Serreau","Tom Selleck","United States",11000000,167780960,"Touchstone Pictures",102
"La Bamba",PG-13,Biography,1987,1987-07-24,6.9,30000,"Luis Valdez","Luis Valdez","Lou Diamond Phillips","United States",6500000,54215416,"Columbia Pictures",108
"The Monster Squad",PG-13,Action,1987,1987-08-14,7,30000,"Fred Dekker","Shane Black","Andre Gower","United States",12000000,3769990,"TAFT Entertainment Pictures",79
"Prince of Darkness",R,Horror,1987,1987-10-23,6.7,39000,"John Carpenter","John Carpenter","Donald Pleasence","United States",3000000,14182492,"Alive Films",102
"Broadcast News",R,Comedy,1987,1987-12-25,7.2,28000,"James L. Brooks","James L. Brooks","William Hurt","United States",20000000,67331309,"Amercent Films",133
"Harry and the Hendersons",PG,Comedy,1987,1987-06-05,6,32000,"William Dear","William Dear","John Lithgow","United States",10000000,49998613,"Amblin Entertainment",110
"Creepshow 2",R,Fantasy,1987,1987-05-01,6.1,23000,"Michael Gornick","Stephen King","George Kennedy","United States",3500000,14000000,"New World Pictures",92
"*batteries not included",PG,Comedy,1987,1987-12-18,6.7,32000,"Matthew Robbins","Mick Garris","Hume Cronyn","United States",25000000,65088797,"Universal Pictures",106
Roxanne,PG,Comedy,1987,1987-06-19,6.6,42000,"Fred Schepisi","Edmond Rostand","Steve Martin","United States",12000000,40050884,"Columbia Pictures Industries",107
Dragnet,PG-13,Comedy,1987,1987-06-26,6,33000,"Tom Mankiewicz","Dan Aykroyd","Dan Aykroyd","United States",20000000,66673516,"Applied Action",106
"Throw Momma from the Train",PG-13,Comedy,1987,1987-12-11,6.3,35000,"Danny DeVito","Stu Silver","Danny DeVito","United States",14000000,57915972,"Orion Pictures",88
"Teen Wolf Too",PG,Comedy,1987,1987-11-20,3.4,11000,"Christopher Leitch","Jeph Loeb","Jason Bateman","United States",3000000,7888703,"Atlantic Entertainment Group",95
"Ernest Goes to Camp",PG,Comedy,1987,1987-05-22,5.5,11000,"John R. Cherry III","John R. Cherry III","Jim Varney","United States",3500000,23509382,"Emshell Producers",92
"The Hidden",R,Horror,1987,1987-10-30,7,18000,"Jack Sholder","Jim Kouf","Kyle MacLachlan","United States",5000000,9747988,"Heron Communications",97
"The Bedroom Window",R,Crime,1987,1987-01-16,6.4,5100,"Curtis Hanson","Anne Holden","Steve Guttenberg","United States",8300000,12640385,"De Laurentiis Entertainment Group (DEG)",112
Barfly,R,Comedy,1987,1987-10-16,7.2,19000,"Barbet Schroeder","Charles Bukowski","Mickey Rourke","United States",3000000,3221568,"Golan-Globus Productions",100
"Maid to Order",PG,Fantasy,1987,1987-07-31,5.5,3300,"Amy Holden Jones","Amy Holden Jones","Ally Sheedy","United States",3000000,9868521,"Vista Organization",93
"Blind Date",PG-13,Comedy,1987,1987-03-27,6,21000,"Blake Edwards","Dale Launer","Kim Basinger","United States",18000000,39337581,"TriStar Pictures",95
"No Man's Land",R,Crime,1987,1987-10-23,6.1,4400,"Peter Werner","Dick Wolf","Charlie Sheen","United States",8000000,2877571,"Orion Pictures",106
Ishtar,PG-13,Action,1987,1987-05-15,4.5,11000,"Elaine May","Elaine May","Warren Beatty","United States",55000000,14375181,"Columbia Pictures",107
"Tough Guys Don't Dance",R,Comedy,1987,1987-09-18,4.8,1300,"Norman Mailer","Norman Mailer","Ryan O'Neal","United States",5000000,858250,"Golan-Globus Productions",110
"The Garbage Pail Kids Movie",PG,Adventure,1987,1987-08-22,2.6,7600,"Rod Amateau","Linda Palmer","Anthony Newley","United States",1000000,1576615,"Atlantic Entertainment Group",100
"Radio Days",PG,Comedy,1987,1987-01-30,7.5,32000,"Woody Allen","Woody Allen","Mia Farrow","United States",16000000,14792779,"Jack Rollins & Charles H. Joffe Productions",88
"Project X",PG,Comedy,1987,1987-04-17,6.1,10000,"Jonathan Kaplan","Lawrence Lasker","Matthew Broderick","United States",18000000,21589395,"Amercent Films",108
"Three O'Clock High",PG-13,Comedy,1987,1987-10-09,7.1,11000,"Phil Joanou","Richard Christian Matheson","Casey Siemaszko","United States",6000000,3685862,"Aaron Spelling Productions",101
"The Barbarians",R,Action,1987,1987-03-20,5,3600,"Ruggero Deodato","Alberto Piferi","David Paul",Italy,4000000,800000,"Canon Italia S.r.l.",87
"The Believers",R,Crime,1987,1987-06-10,6.1,6500,"John Schlesinger","Nicholas Conde","Martin Sheen","United States",13000000,18753438,"Orion Pictures",114
"Death Wish 4: The Crackdown",R,Action,1987,1987-11-06,5.4,9100,"J. Lee Thompson","Brian Garfield","Charles Bronson","United States",5000000,6880310,"Golan-Globus Productions",99
"Cry Freedom",PG,Biography,1987,1987-11-06,7.4,13000,"Richard Attenborough","John Briley","Denzel Washington","United Kingdom",29000000,5899797,"Universal Pictures",157
Assassination,PG-13,Action,1987,1987-01-09,5.2,3000,"Peter R. Hunt","Richard Sale","Charles Bronson","United States",5000000,6075793,"The Cannon Group",88
"The Pick-up Artist",PG-13,Comedy,1987,1987-09-18,5.3,6600,"James Toback","James Toback","Molly Ringwald","United States",15000000,13290368,"Amercent Films",81
"Someone to Watch Over Me",R,Crime,1987,1987-10-09,6.1,9700,"Ridley Scott","Howard Franklin","Tom Berenger","United States",12800000,10278549,"Columbia Pictures",106
Ironweed,R,Drama,1987,1988-02-12,6.7,8600,"Hector Babenco","William Kennedy","Jack Nicholson","United States",27000000,7393346,"Home Box Office (HBO)",143
"Who's That Girl",PG,Comedy,1987,1987-08-07,4.8,9600,"James Foley","Andrew Smith",Madonna,"United States",17000000,7305209,"The Guber-Peters Company",92
"Extreme Prejudice",R,Action,1987,1987-04-24,6.6,6400,"Walter Hill","John Milius","Nick Nolte","United States",22000000,11307844,"Carolco Pictures",104
Matewan,PG-13,Drama,1987,1987-08-28,7.9,7500,"John Sayles","John Sayles","Chris Cooper","United States",4000000,1680358,"Cinecom Entertainment Group",135
Suspect,R,Crime,1987,1987-10-23,6.6,9600,"Peter Yates","Eric Roth",Cher,"United States",14500000,18782400,"TriStar Pictures",121
"The Fourth Protocol",R,Thriller,1987,1987-08-28,6.6,9200,"John Mackenzie","George Axelrod","Michael Caine","United Kingdom",6000000,12423831,"Fourth Protocol",119
"Hiding Out",PG-13,Comedy,1987,1987-11-06,6.4,3500,"Bob Giraldi","Joe Menosky","Jon Cryer","United States",7000000,7019441,"De Laurentiis Entertainment Group (DEG)",98
"Made in Heaven",PG,Comedy,1987,1987-11-06,6.4,3200,"Alan Rudolph","Bruce A. Evans","Timothy Hutton","United States",13000000,4572845,"Lorimar Motion Pictures",103
"Date with an Angel",PG,Comedy,1987,1987-11-20,5.7,2600,"Tom McLoughlin","Tom McLoughlin","Michael E. Knight","United States",8000000,1988962,"De Laurentiis Entertainment Group (DEG)",105
"Critical Condition",R,Comedy,1987,1987-01-16,5.4,3200,"Michael Apted","Denis Hamill","Richard Pryor","United States",14000000,20240502,"Paramount Pictures",97
"Like Father Like Son",PG-13,Comedy,1987,1987-10-02,5.2,5700,"Rod Daniel","Lorne Cameron","Dudley Moore","United States",10500000,34377585,"Imagine Films Entertainment",100
"Steel Dawn",R,Action,1987,1988-03-31,5.1,4700,"Lance Hool","Doug Lefler","Patrick Swayze","United States",3520000,562187,"Independent Film Centre",100
"Tin Men",R,Comedy,1987,1987-03-13,6.6,8000,"Barry Levinson","Barry Levinson","Richard Dreyfuss","United States",11000000,25411386,"Touchstone Pictures",112
Prison,R,Crime,1987,1987-12-08,5.8,4000,"Renny Harlin","Irwin Yablans","Lane Smith","United States",4000000,345704,"Empire Pictures",102
"Street Smart",R,Crime,1987,1987-03-20,6.4,2900,"Jerry Schatzberg","David Freeman","Christopher Reeve","United States",5000000,1119112,"Golan-Globus Productions",97
"The House on Carroll Street",PG,Thriller,1987,1987,6.1,2300,"Peter Yates","Walter Bernstein","Kelly McGillis","United States",14000000,459824,"Orion Pictures",101
"The Principal",R,Action,1987,1987-09-18,6.3,9300,"Christopher Cain","Frank Deese","Jim Belushi","United States",11000000,19734940,"TriStar Pictures",109
"American Ninja 2: The Confrontation",R,Action,1987,1987-05-01,4.9,8200,"Sam Firstenberg","Avi Kleinberger","Michael Dudikoff","United States",350000,4000000,"Golan-Globus Productions",90
"A Prayer for the Dying",R,Action,1987,1987-09-11,6.3,4800,"Mike Hodges","Jack Higgins","Mickey Rourke","United Kingdom",6000000,1432687,"The Samuel Goldwyn Company",107
"Slam Dance",R,Crime,1987,1987-10-02,5.3,1400,"Wayne Wang","Don Keith Opper","Tom Hulce","United Kingdom",4500000,406881,"Zenith Entertainment",92
Rampage,R,Drama,1987,1992-10-30,6.2,2000,"William Friedkin","William P. Wood","Michael Biehn","United States",7500000,796368,"De Laurentiis Entertainment Group (DEG)",97
"The Sicilian",R,Action,1987,1987-10-23,5.4,4800,"Michael Cimino","Mario Puzo","Christopher Lambert","United States",9000000,5406879,"Gladden Entertainment",115
"The Outing",R,Horror,1987,1987-11-21,5.1,1600,"Tom Daley","Warren Chaney","Deborah Winters","United States",2000000,1083395,"H.I.T. Films",87
"Leonard Part 6",PG,Action,1987,1987-12-18,2.2,7900,"Paul Weiland","Jonathan Reynolds","Bill Cosby","United States",24000000,4615255,"Columbia Pictures",85
"White Mischief",R,Crime,1987,1988-05-06,6.3,2600,"Michael Radford","James Fox","Sarah Miles","United Kingdom",5300000,3107551,"Columbia Pictures",107
"Hollywood Shuffle",R,Comedy,1987,1987-03-20,7,5200,"Robert Townsend","Dom Irrera","Robert Townsend","United States",100000,5228617,"Conquering Unicorn",78
Nuts,R,Drama,1987,1987-12-11,6.6,6000,"Martin Ritt","Tom Topor","Barbra Streisand","United States",25000000,30950002,"Warner Bros.",116
Malone,R,Action,1987,1987-05-01,5.7,2800,"Harley Cokeliss","Christopher Frank","Burt Reynolds","United States",10000000,3060858,"Orion Pictures",92
"Straight to Hell",R,Action,1987,1987-06-26,5.7,2300,"Alex Cox","Alex Cox","Sy Richardson","United Kingdom",1000000,210200,"Commies From Mars Corporation",86
"Five Corners",R,Crime,1987,"May 1988",6.2,3100,"Tony Bill","John Patrick Shanley","Jodie Foster","United Kingdom",5500000,969205,"Cineplex Odeon Films",90
"The Squeeze",PG-13,Action,1987,1987-07-10,4.7,1100,"Roger Young","Daniel Taplitz","Michael Keaton","United States",19000000,2228951,"TriStar Pictures",101
Nadine,PG,Comedy,1987,1987-08-07,5.5,3800,"Robert Benton","Robert Benton","Jeff Bridges","United States",12000000,5669831,"TriStar Pictures",83
"Personal Services",R,Comedy,1987,1987-05-15,6.4,1400,"Terry Jones","David Leland","Julie Walters","United Kingdom",19897678,1744164,"British Screen Productions",105
"In the Mood",PG-13,Comedy,1987,1987-09-16,6.2,905,"Phil Alden Robinson","Robert Kosberg","Patrick Dempsey","United States",7000000,999382,"Kings Road Entertainment",98
Surrender,PG,Comedy,1987,1987-10-09,5.4,872,"Jerry Belson","Jerry Belson","Sally Field","United States",15000000,5711976,"The Cannon Group",105
September,PG,Drama,1987,1987-12-18,6.5,9300,"Woody Allen","Woody Allen","Elaine Stritch","United States",10000000,486434,"Jack Rollins & Charles H. Joffe Productions",83
"Sister, Sister",R,Drama,1987,1988-02-09,5.4,834,"Bill Condon","Bill Condon","Eric Stoltz","United States",4000000,743445,"New World Entertainment Films",91
"Million Dollar Mystery",PG,Comedy,1987,1987-06-12,5.1,390,"Richard Fleischer","Tim Metcalfe","Eddie Deezen","United States",10000000,989033,"De Laurentiis Entertainment Group (DEG)",95
"Die Hard",R,Action,1988,1988-07-20,8.2,810000,"John McTiernan","Roderick Thorp","Bruce Willis","United States",28000000,141603197,"Twentieth Century Fox",132
"Midnight Run",R,Action,1988,1988-07-20,7.5,79000,"Martin Brest","George Gallo","Robert De Niro","United States",30000000,81613606,"Universal Pictures",126
Beetlejuice,PG,Comedy,1988,1988-03-30,7.5,270000,"Tim Burton","Michael McDowell","Alec Baldwin","United States",15000000,74270074,"The Geffen Company",92
Big,PG,Comedy,1988,1988-06-03,7.3,205000,"Penny Marshall","Gary Ross","Tom Hanks","United States",18000000,151927281,"American Entertainment Partners II L.P.",104
"Rain Man",R,Drama,1988,1988-12-16,8,483000,"Barry Levinson","Barry Morrow","Dustin Hoffman","United States",25000000,354825435,"United Artists",133
"Running on Empty",PG-13,Crime,1988,1988-09-09,7.7,15000,"Sidney Lumet","Naomi Foner","River Phoenix","United States",7000000,2847941,"Double Play",116
"They Live",R,Action,1988,1988-11-04,7.3,117000,"John Carpenter","Ray Nelson","Roddy Piper","United States",4000000,13008928,"Alive Films",94
Willow,PG,Action,1988,1988-05-20,7.3,103000,"Ron Howard","George Lucas","Val Kilmer","United Kingdom",35000000,57269863,"Metro-Goldwyn-Mayer (MGM)",126
"Crocodile Dundee II",PG,Action,1988,1988-05-25,5.6,55000,"John Cornell","Paul Hogan","Paul Hogan",Australia,14000000,239606210,"Paramount Pictures",108
Heathers,R,Comedy,1988,1989-03-31,7.2,92000,"Michael Lehmann","Daniel Waters","Winona Ryder","United States",3000000,1163969,"New World Pictures",103
"Coming to America",R,Comedy,1988,1988-06-29,7.1,196000,"John Landis","Eddie Murphy","Eddie Murphy","United States",39000000,288752301,"Paramount Pictures",117
"Who Framed Roger Rabbit",PG,Animation,1988,1988-06-22,7.7,187000,"Robert Zemeckis","Gary K. Wolf","Bob Hoskins","United States",70000000,329803958,"Touchstone Pictures",104
"Mystic Pizza",R,Comedy,1988,1988-10-21,6.3,27000,"Donald Petrie","Amy Holden Jones","Annabeth Gish","United States",6000000,12793213,"Night Life Inc.",104
"Cinema Paradiso",PG,Drama,1988,1990-02-23,8.5,239000,"Giuseppe Tornatore","Giuseppe Tornatore","Philippe Noiret",Italy,5000000,13019063,Cristaldifilm,155
"Mississippi Burning",R,Crime,1988,1989-01-27,7.8,91000,"Alan Parker","Chris Gerolmo","Gene Hackman","United States",15000000,34603943,"Orion Pictures",128
"Child's Play",R,Fantasy,1988,1988-11-09,6.6,91000,"Tom Holland","Don Mancini","Catherine Hicks","United States",9000000,44196684,"United Artists",87
Twins,PG,Comedy,1988,1988-12-09,6.1,117000,"Ivan Reitman","William Davies","Arnold Schwarzenegger","United States",15000000,216614388,"Universal Pictures",107
"The Naked Gun: from the Files of Police Squad!",PG-13,Comedy,1988,1988-12-02,7.6,158000,"David Zucker","Jerry Zucker","Leslie Nielsen","United States",12000000,78756177,"Paramount Pictures",85
"The Great Outdoors",PG,Comedy,1988,1988-06-17,6.6,41000,"Howard Deutch","John Hughes","Dan Aykroyd","United States",24000000,43455230,"Universal Pictures",91
Cocktail,R,Comedy,1988,1988-07-29,5.9,81000,"Roger Donaldson","Heywood Gould","Tom Cruise","United States",20000000,171504781,"Touchstone Pictures",104
"My Neighbor Totoro",G,Animation,1988,1990-07-13,8.2,304000,"Hayao Miyazaki","Hayao Miyazaki","Hitoshi Takagi",Japan,3700000,30550920,"Tokuma Japan Communications",86
"Young Guns",R,Action,1988,1988-08-12,6.9,57000,"Christopher Cain","John Fusco","Emilio Estevez","United States",13000000,45661556,"Morgan Creek Entertainment",107
"A Fish Called Wanda",R,Comedy,1988,1988-07-29,7.5,135000,"Charles Crichton","John Cleese","John Cleese","United Kingdom",7500000,62493712,"Metro-Goldwyn-Mayer (MGM)",108
"Working Girl",R,Comedy,1988,1988-12-21,6.8,54000,"Mike Nichols","Kevin Wade","Melanie Griffith","United States",28000000,102953112,"Twentieth Century Fox",113
Bloodsport,R,Action,1988,1988-04-29,6.8,79000,"Newt Arnold","Sheldon Lettich","Jean-Claude Van Damme","United States",1100000,11806119,"Cannon International",92
"The Last Temptation of Christ",R,Drama,1988,1988-08-12,7.5,54000,"Martin Scorsese","Nikos Kazantzakis","Willem Dafoe",Canada,7000000,8865702,"Universal Pictures",164
"Married to the Mob",R,Comedy,1988,1988-08-19,6.2,16000,"Jonathan Demme","Barry Strugatz","Michelle Pfeiffer","United States",10000000,21486757,"Orion Pictures",104
